from	to	cluster
CCT6A	ITFG1	cluster1
ITFG1	GABARAPL2	cluster1
ITFG1	NCAM2	cluster1
ITFG1	CACNA1D	cluster1
RAP1GAP	PPP1CB	cluster1
HSP90AB1	RAP1GAP	cluster1
RAP1GAP	CALM1	cluster1
RAP1GAP	LRPPRC	cluster1
RAP1GAP	GIT2	cluster1
RAP1GAP	GABARAPL2	cluster1
RAP1GAP	NCAM2	cluster1
RAP1GAP	CACNA1D	cluster1
DAXX	PPP1CB	cluster1
HSP90AB1	PPP1CB	cluster1
PPP1CB	CALM1	cluster1
PPP1CB	PRDX2	cluster1
PPP1CB	LRPPRC	cluster1
PPP1CB	GIT2	cluster1
CCT6A	PPP1CB	cluster1
PPP1CB	GABARAPL2	cluster1
PPP1CB	NCAM2	cluster1
PPP1CB	CACNA1D	cluster1
RPS25	GABARAPL2	cluster1
HSP90AB1	ATP6V1F	cluster1
ATP6V1F	CALM1	cluster1
ATP6V1F	PRDX2	cluster1
ATP6V1F	GABARAPL2	cluster1
HSP90AB1	CALM1	cluster1
HSP90AB1	PRDX2	cluster1
HSP90AB1	LRPPRC	cluster1
HSP90AB1	GIT2	cluster1
HSP90AB1	CCT6A	cluster1
HSP90AB1	GABARAPL2	cluster1
HSP90AB1	NCAM2	cluster1
HSP90AB1	CACNA1D	cluster1
CALM1	PRDX2	cluster1
CALM1	LRPPRC	cluster1
CALM1	GIT2	cluster1
CALM1	GABARAPL2	cluster1
CALM1	NCAM2	cluster1
CALM1	CACNA1D	cluster1
CCT6A	PRDX2	cluster1
PRDX2	GABARAPL2	cluster1
LRPPRC	GIT2	cluster1
CCT6A	LRPPRC	cluster1
LRPPRC	GABARAPL2	cluster1
LRPPRC	NCAM2	cluster1
LRPPRC	CACNA1D	cluster1
GIT2	GABARAPL2	cluster1
GIT2	CACNA1D	cluster1
CCT6A	GABARAPL2	cluster1
GABARAPL2	NCAM2	cluster1
GABARAPL2	CACNA1D	cluster1
NCAM2	CACNA1D	cluster1
SYP	PI4KA	cluster2
SYP	ARF3	cluster2
SYP	IQSEC3	cluster2
SYP	PPP2R1A	cluster2
SYP	GPC1	cluster2
SYP	NDUFA5	cluster2
SYP	EIF4A2	cluster2
SYP	SNAP91	cluster2
SYP	GRIP1	cluster2
SYP	DIRAS1	cluster2
SYP	ATP6V1C1	cluster2
SYP	DYNC1H1	cluster2
SYP	PCLO	cluster2
SYP	SCN1A	cluster2
SYP	GNB5	cluster2
SYP	PLD3	cluster2
SYP	YWHAG	cluster2
SYP	CDC42	cluster2
SYP	KIFAP3	cluster2
SYP	NPTN	cluster2
SYP	ALDOA	cluster2
MARCH4	SYP	cluster2
SYP	LDHA	cluster2
SYP	GRIN1	cluster2
SYP	PGM2L1	cluster2
SYP	OXR1	cluster2
SYP	ATP6V1A	cluster2
SYP	ATP6V0C	cluster2
SYP	VAMP2	cluster2
SYP	HOMER2	cluster2
SYP	ATP2A2	cluster2
SYP	MAP1A	cluster2
SYP	CRMP1	cluster2
SYP	SPTBN4	cluster2
SYP	FABP3	cluster2
SYP	STRAP	cluster2
SYP	SYT12	cluster2
SYP	ATP6V1G2	cluster2
SYP	LMTK2	cluster2
SYP	REEP5	cluster2
SYP	GNAI1	cluster2
SYP	BSN	cluster2
SYP	RAB3A	cluster2
SYP	MPP6	cluster2
RNF11	SYP	cluster2
HSP90AA1	SYP	cluster2
SYP	GNAO1	cluster2
SYP	VGF	cluster2
DNAJB14	SYP	cluster2
SYP	TAGLN3	cluster2
SYP	STXBP1	cluster2
SYP	VDAC3	cluster2
SYP	KLC1	cluster2
SYP	SLC25A4	cluster2
SYP	KCNJ12	cluster2
SYP	MAP1B	cluster2
SYP	CACNA1I	cluster2
HSPH1	SYP	cluster2
SYP	ATP1A3	cluster2
SYP	SYT3	cluster2
SYP	AP3B2	cluster2
SYP	NTRK2	cluster2
KRT5	DES	cluster2
PI4KA	IQSEC3	cluster2
PI4KA	GPC1	cluster2
PI4KA	NDUFA5	cluster2
PI4KA	SNAP91	cluster2
PI4KA	DIRAS1	cluster2
PI4KA	DYNC1H1	cluster2
PI4KA	ERC2	cluster2
PI4KA	PCLO	cluster2
PI4KA	GNB5	cluster2
PI4KA	YWHAG	cluster2
PI4KA	CDC42	cluster2
PI4KA	KIFAP3	cluster2
PI4KA	NPTN	cluster2
MARCH4	PI4KA	cluster2
PI4KA	LDHA	cluster2
PI4KA	GRIN1	cluster2
PI4KA	DYNC1I2	cluster2
HERC1	PI4KA	cluster2
PI4KA	PGM2L1	cluster2
PI4KA	OXR1	cluster2
PI4KA	ATP6V1A	cluster2
PI4KA	VAMP2	cluster2
PI4KA	TUBA1B	cluster2
PI4KA	CRMP1	cluster2
PI4KA	SPTBN4	cluster2
PI4KA	FABP3	cluster2
PI4KA	STRAP	cluster2
PI4KA	SYT12	cluster2
PI4KA	ATP6V1G2	cluster2
PI4KA	LMTK2	cluster2
PI4KA	BSN	cluster2
PI4KA	RAB3A	cluster2
RNF11	PI4KA	cluster2
PI4KA	GNAO1	cluster2
DNAJB14	PI4KA	cluster2
PI4KA	TAGLN3	cluster2
PI4KA	STXBP1	cluster2
PI4KA	KLC1	cluster2
PI4KA	MAP1B	cluster2
PI4KA	CACNA1I	cluster2
HSPH1	PI4KA	cluster2
PI4KA	AP3B2	cluster2
ARF3	IQSEC3	cluster2
ARF3	NDUFA5	cluster2
ARF3	EIF4A2	cluster2
ARF3	DIRAS1	cluster2
ARF3	ATP6V1C1	cluster2
ARF3	DYNC1H1	cluster2
ARF3	PLD3	cluster2
ARF3	YWHAG	cluster2
ARF3	CDC42	cluster2
ARF3	KIFAP3	cluster2
ARF3	ALDOA	cluster2
ARF3	LDHA	cluster2
ARF3	GRIN1	cluster2
ARF3	PGM2L1	cluster2
ARF3	ATP6V1A	cluster2
ARF3	ATP6V0C	cluster2
ARF3	VAMP2	cluster2
ARF3	FABP3	cluster2
ARF3	STRAP	cluster2
ARF3	LMTK2	cluster2
ARF3	REEP5	cluster2
ARF3	GNAI1	cluster2
ARF3	RAB3A	cluster2
RNF11	ARF3	cluster2
ARF3	ATP5C1	cluster2
HSP90AA1	ARF3	cluster2
DNAJB14	ARF3	cluster2
ARF3	TAGLN3	cluster2
ARF3	STXBP1	cluster2
ARF3	VDAC3	cluster2
ARF3	KLC1	cluster2
ARF3	SLC25A4	cluster2
ARF3	CACNA1I	cluster2
ARF3	SYT3	cluster2
IQSEC3	GPC1	cluster2
IQSEC3	DIRAS1	cluster2
IQSEC3	ATP6V1C1	cluster2
IQSEC3	DYNC1H1	cluster2
IQSEC3	PCLO	cluster2
IQSEC3	GNB5	cluster2
IQSEC3	PLD3	cluster2
IQSEC3	YWHAG	cluster2
IQSEC3	KIFAP3	cluster2
IQSEC3	LDHA	cluster2
IQSEC3	GRIN1	cluster2
IQSEC3	PGM2L1	cluster2
IQSEC3	ATP6V1A	cluster2
IQSEC3	ATP6V0C	cluster2
IQSEC3	VAMP2	cluster2
IQSEC3	HOMER2	cluster2
IQSEC3	MAP1A	cluster2
IQSEC3	CRMP1	cluster2
IQSEC3	SPTBN4	cluster2
IQSEC3	FABP3	cluster2
IQSEC3	STRAP	cluster2
IQSEC3	LMTK2	cluster2
RNF11	IQSEC3	cluster2
DNAJB14	IQSEC3	cluster2
IQSEC3	STXBP1	cluster2
IQSEC3	VDAC3	cluster2
IQSEC3	KLC1	cluster2
IQSEC3	SLC25A4	cluster2
IQSEC3	CACNA1I	cluster2
IQSEC3	ATP1A3	cluster2
IQSEC3	SYT3	cluster2
IQSEC3	AP3B2	cluster2
PPP2R1A	GPC1	cluster2
PPP2R1A	NDUFA5	cluster2
PPP2R1A	EIF4A2	cluster2
PPP2R1A	SNAP91	cluster2
PPP2R1A	FSD1	cluster2
PPP2R1A	GRIK2	cluster2
PPP2R1A	SCN1A	cluster2
PPP2R1A	GNB5	cluster2
PPP2R1A	PDE10A	cluster2
PPP2R1A	PLD3	cluster2
PPP2R1A	KIFAP3	cluster2
PPP2R1A	NPTN	cluster2
PPP2R1A	ALDOA	cluster2
PPP2R1A	LDHA	cluster2
PPP2R1A	GRIN1	cluster2
PPP2R1A	ATP6V1A	cluster2
PPP2R1A	ATP6V0C	cluster2
PPP2R1A	VAMP2	cluster2
PPP2R1A	CRMP1	cluster2
PPP2R1A	SPTBN4	cluster2
PPP2R1A	FABP3	cluster2
PPP2R1A	STRAP	cluster2
PPP2R1A	LMTK2	cluster2
PPP2R1A	REEP5	cluster2
PPP2R1A	LRRTM1	cluster2
PPP2R1A	GNAI1	cluster2
PPP2R1A	RAB3A	cluster2
PPP2R1A	MPP6	cluster2
RNF11	PPP2R1A	cluster2
HSP90AA1	PPP2R1A	cluster2
PPP2R1A	GNAO1	cluster2
PPP2R1A	STXBP1	cluster2
PPP2R1A	VDAC3	cluster2
PPP2R1A	KLC1	cluster2
PPP2R1A	SLC25A4	cluster2
PPP2R1A	KCNJ12	cluster2
PPP2R1A	ATP1A3	cluster2
PPP2R1A	SYT3	cluster2
PPP2R1A	AP3B2	cluster2
PPP2R1A	NTRK2	cluster2
DES	SCN5A	cluster2
DES	KRT6A	cluster2
DES	RGS8	cluster2
DES	SLC25A31	cluster2
DES	CBLN1	cluster2
ASB9	DES	cluster2
GPC1	NDUFA5	cluster2
GPC1	SNAP91	cluster2
GPC1	FSD1	cluster2
GPC1	GRIK2	cluster2
GPC1	DUSP4	cluster2
GPC1	DIRAS1	cluster2
GPC1	DYNC1H1	cluster2
GPC1	ERC2	cluster2
GPC1	PCLO	cluster2
CCNF	GPC1	cluster2
GPC1	SCN1A	cluster2
GPC1	GNB5	cluster2
GPC1	PDE10A	cluster2
GPC1	KIFAP3	cluster2
GPC1	NPTN	cluster2
MARCH4	GPC1	cluster2
GPC1	GRIN1	cluster2
GPC1	PTPRD	cluster2
GPC1	PGM2L1	cluster2
GPC1	ATP6V1A	cluster2
GPC1	VAMP2	cluster2
GPC1	HOMER2	cluster2
GPC1	ATP2A2	cluster2
GPC1	MAP1A	cluster2
GPC1	CRMP1	cluster2
GPC1	SPTBN4	cluster2
GPC1	FABP3	cluster2
GPC1	SORBS2	cluster2
GPC1	STRAP	cluster2
GPC1	ATP6V1G2	cluster2
GPC1	LMTK2	cluster2
GPC1	LRRTM1	cluster2
GPC1	GNAI1	cluster2
GPC1	BSN	cluster2
GPC1	MPP6	cluster2
RNF11	GPC1	cluster2
MEX3B	GPC1	cluster2
GPC1	GNAO1	cluster2
HSPB2	GPC1	cluster2
GPC1	STXBP1	cluster2
GPC1	VDAC3	cluster2
GPC1	KLC1	cluster2
GPC1	SLC25A4	cluster2
GPC1	KCNJ12	cluster2
GPC1	MAP1B	cluster2
GPC1	ATP1A3	cluster2
GPC1	SYT3	cluster2
GPC1	AP3B2	cluster2
GPC1	NTRK2	cluster2
NDUFA5	EIF4A2	cluster2
NDUFA5	SNAP91	cluster2
NDUFA5	FSD1	cluster2
NDUFA5	GAPDH	cluster2
NDUFA5	DIRAS1	cluster2
NDUFA5	SEPT7	cluster2
NDUFA5	ATP6V1C1	cluster2
NDUFA5	DYNC1H1	cluster2
NDUFA5	ERC2	cluster2
NDUFA5	PCLO	cluster2
NDUFA5	SCN1A	cluster2
NDUFA5	GNB5	cluster2
NDUFA5	PDE10A	cluster2
NDUFA5	YWHAG	cluster2
NDUFA5	CDC42	cluster2
NDUFA5	KIFAP3	cluster2
NDUFA5	NPTN	cluster2
NDUFA5	ALDOA	cluster2
NDUFA5	LDHA	cluster2
NDUFA5	GRIN1	cluster2
NDUFA5	PGM2L1	cluster2
NDUFA5	OXR1	cluster2
NDUFA5	ATP6V1A	cluster2
NDUFA5	VAMP2	cluster2
NDUFA5	ATP2A2	cluster2
NDUFA5	MAP1A	cluster2
NDUFA5	TUBA1B	cluster2
NDUFA5	CRMP1	cluster2
NDUFA5	SPTBN4	cluster2
NDUFA5	FABP3	cluster2
NDUFA5	STRAP	cluster2
NDUFA5	SYT12	cluster2
NDUFA5	ATP6V1G2	cluster2
NDUFA5	LMTK2	cluster2
NDUFA5	REEP5	cluster2
NDUFA5	BSN	cluster2
NDUFA5	RAB3A	cluster2
NDUFA5	MPP6	cluster2
RNF11	NDUFA5	cluster2
NDUFA5	ATP5C1	cluster2
HSP90AA1	NDUFA5	cluster2
DNAJB14	NDUFA5	cluster2
NDUFA5	TAGLN3	cluster2
NDUFA5	STXBP1	cluster2
NDUFA5	VDAC3	cluster2
NDUFA5	KLC1	cluster2
NDUFA5	SLC25A4	cluster2
NDUFA5	MAP1B	cluster2
HSPH1	NDUFA5	cluster2
NDUFA5	SYT3	cluster2
NDUFA5	AP3B2	cluster2
NDUFA5	NTRK2	cluster2
EIF4A2	GAPDH	cluster2
EIF4A2	DIRAS1	cluster2
EIF4A2	ATP6V1C1	cluster2
EIF4A2	GNB5	cluster2
EIF4A2	PLD3	cluster2
EIF4A2	YWHAG	cluster2
EIF4A2	CDC42	cluster2
EIF4A2	KIFAP3	cluster2
EIF4A2	NPTN	cluster2
EIF4A2	ALDOA	cluster2
MARCH4	EIF4A2	cluster2
EIF4A2	LDHA	cluster2
EIF4A2	GRIN1	cluster2
EIF4A2	PGM2L1	cluster2
EIF4A2	ATP6V1A	cluster2
EIF4A2	VAMP2	cluster2
EIF4A2	ATP2A2	cluster2
EIF4A2	TUBA1B	cluster2
EIF4A2	FABP3	cluster2
EIF4A2	STRAP	cluster2
EIF4A2	ATP6V1G2	cluster2
EIF4A2	REEP5	cluster2
EIF4A2	BSN	cluster2
EIF4A2	RAB3A	cluster2
RNF11	EIF4A2	cluster2
EIF4A2	ATP5C1	cluster2
DNAJB14	EIF4A2	cluster2
EIF4A2	TAGLN3	cluster2
EIF4A2	STXBP1	cluster2
EIF4A2	VDAC3	cluster2
EIF4A2	KLC1	cluster2
EIF4A2	SLC25A4	cluster2
HSPH1	EIF4A2	cluster2
EIF4A2	SYT3	cluster2
SNAP91	FSD1	cluster2
SNAP91	GRIK2	cluster2
SNAP91	DUSP4	cluster2
SNAP91	DIRAS1	cluster2
SNAP91	DYNC1H1	cluster2
SNAP91	ERC2	cluster2
SNAP91	PCLO	cluster2
CCNF	SNAP91	cluster2
SNAP91	SCN1A	cluster2
SNAP91	GNB5	cluster2
SNAP91	PDE10A	cluster2
SNAP91	YWHAG	cluster2
SNAP91	KIFAP3	cluster2
SNAP91	NPTN	cluster2
MARCH4	SNAP91	cluster2
SNAP91	GRIN1	cluster2
SNAP91	PTPRD	cluster2
SNAP91	PGM2L1	cluster2
SNAP91	VAMP2	cluster2
SNAP91	ATP2A2	cluster2
SNAP91	MAP1A	cluster2
SNAP91	CRMP1	cluster2
SNAP91	SPTBN4	cluster2
SNAP91	FABP3	cluster2
SNAP91	SORBS2	cluster2
SNAP91	STRAP	cluster2
SNAP91	ATP6V1G2	cluster2
