	MP	GABA1	K1	K2	GABA3	GABA2
KDM4B	52.090996881091584	26.56039285714286	68.31429302325583	74.58063703703704	93.714475	44.546036
FAM205A	0.0	0.0	0.0	0.0	0.0	0.0
PTPRC	8.400427499999996	130.03188333333333	28.7615	13.4463	5.348275	15.804457142857144
TAF4	44.84555500000002	45.949625000000005	42.848192307692315	78.26342857142858	10.02775	50.15307857142857
BOC	42.386675000000004	0.0	63.08716666666667	28.65093333333333	0.0	27.728125
SEC24A	71.40828544973544	68.02422727272729	77.17042333333333	97.1092388888889	27.40256	177.56533333333334
PPP1R13B	63.34742923351155	52.04572400000001	59.70043265306122	71.85562608695652	69.1331375	96.68970769230769
ANLN	68.43054838709676	45.952639999999995	121.7115	68.09132	359.1008	88.2833
NFATC3	48.749544131455444	76.38952857142856	36.91902857142856	18.931190909090912	17.838919999999998	93.98549999999999
CCDC150	46.72054705882353	5.942	0.0	25.2559	0.0	105.18985
PHF8	27.57850806451613	94.28462666666665	70.74914285714284	42.7311	207.14933333333335	73.64107857142858
TMC3	37.18325	0.0	0.0	0.0	0.0	22.0821
ATXN2L	38.11922760180995	35.59878888888889	42.44842678571429	43.73604594594596	64.20140454545454	60.225125
OGDH	24.7281193359375	45.63286333333334	19.365148484848483	22.777226666666667	29.234107142857145	40.853893750000005
MCM9	58.83373206521742	63.5498	63.33988181818181	36.6775	67.06423333333332	215.33491999999995
PLD1	88.76228005617979	0.0	118.5087065217391	135.9363304347826	58.075250000000004	4.6668666666666665
IPO9	139.13703605547	156.40279999999996	174.28912499999998	209.58596	129.2829235294118	163.45167021276595
CAPRIN2	389.4160922413788	149.3558825	462.8068140625001	339.5382263157895	368.4718117647058	227.17306923076924
NNT	157.23266075353214	213.7912139534884	171.12154262295078	172.60274545454544	153.14268750000002	216.58690576923078
