from	to	type
DNAJC13	EFHD2	chap_syn
DNAJC13	EXOC6	chap_syn
DNAJC13	FARP1	chap_syn
DNAJC13	GRM1	chap_syn
DNAJC13	HADH	chap_syn
DNAJC13	PPP2R1A	chap_syn
DNAJC13	RAB3A	chap_syn
DNAJC13	SLC1A2	chap_syn
DNAJC14	CAMK2A	chap_syn
DNAJC14	CYFIP2	chap_syn
DNAJC14	MYO18A	chap_syn
DNAJC14	REPS2	chap_syn
DNAJC14	RHOA	chap_syn
DNAJC14	RPS16	chap_syn
DNAJC14	XYLT1	chap_syn
DNAJC15	ACOT8	chap_syn
DNAJC15	ANXA11	chap_syn
DNAJC15	GRHPR	chap_syn
DNAJC15	LMNB1	chap_syn
DNAJC15	LYN	chap_syn
DNAJC15	MTCH2	chap_syn
DNAJC15	NLGN2	chap_syn
DNAJC15	NSFL1C	chap_syn
DNAJC15	PRKG2	chap_syn
DNAJC15	RAC2	chap_syn
DNAJC15	RPS12	chap_syn
DNAJC17	ABI1	chap_syn
DNAJC17	APPL2	chap_syn
DNAJC17	ARNT	chap_syn
DNAJC17	ATP6V0D1	chap_syn
DNAJC17	DDAH1	chap_syn
DNAJC17	GNL1	chap_syn
DNAJC17	JUP	chap_syn
DNAJC17	KIF20B	chap_syn
DNAJC17	KPNA1	chap_syn
DNAJC17	MLF1	chap_syn
DNAJC17	MYO6	chap_syn
DNAJC17	PRPS1	chap_syn
DNAJC17	SERTAD4	chap_syn
DNAJC17	SNCA	chap_syn
DNAJC17	SSR1	chap_syn
DNAJC17	STXBP1	chap_syn
DNAJC17	TPI1	chap_syn
DNAJC17	WASF2	chap_syn
DNAJC18	ATP6V0D1	chap_syn
DNAJC18	GRIA1	chap_syn
DNAJC18	MAP2	chap_syn
DNAJC18	NEO1	chap_syn
DNAJC18	OPCML	chap_syn
DNAJC18	PKP4	chap_syn
DNAJC18	POR	chap_syn
DNAJC18	RAB3GAP2	chap_syn
DNAJC18	RABEP1	chap_syn
DNAJC18	ROGDI	chap_syn
DNAJC18	STXBP1	chap_syn
DNAJC18	SYNGR4	chap_syn
DNAJC18	WASF3	chap_syn
DNAJC18	WDR91	chap_syn
DNAJC19	MAP2K2	chap_syn
DNAJC19	PFKP	chap_syn
DNAJC19	ST14	chap_syn
DNAJC2	ACTR3B	chap_syn
DNAJC2	CDH13	chap_syn
DNAJC2	GPC1	chap_syn
DNAJC21	EDARADD	chap_syn
DNAJC21	HDLBP	chap_syn
DNAJC21	ME3	chap_syn
DNAJC21	NDUFB8	chap_syn
DNAJC21	OGDH	chap_syn
DNAJC21	PLCD1	chap_syn
DNAJC21	TMEM65	chap_syn
DNAJC21	UBE2V2	chap_syn
DNAJC21	VPS53	chap_syn
DNAJC22	CHCHD3	chap_syn
DNAJC22	DLG1	chap_syn
DNAJC22	RPL19	chap_syn
DNAJC22	RPL5	chap_syn
DNAJC22	S100A4	chap_syn
DNAJC22	YES1	chap_syn
DNAJC25	ELFN2	chap_syn
DNAJC25	LIPE	chap_syn
DNAJC25	PPP1CC	chap_syn
DNAJC25	PRNP	chap_syn
DNAJC25	PYCR1	chap_syn
DNAJC25	RAB21	chap_syn
DNAJC25	SHANK2	chap_syn
DNAJC25	SLC12A2	chap_syn
DNAJC25	SYCP1	chap_syn
DNAJC25	SYT3	chap_syn
DNAJC3	ABI1	chap_syn
DNAJC3	ARNT	chap_syn
DNAJC3	CAPZA3	chap_syn
DNAJC3	CSE1L	chap_syn
DNAJC3	DIP2B	chap_syn
DNAJC3	DYNLRB2	chap_syn
DNAJC3	JUP	chap_syn
DNAJC3	MARK2	chap_syn
DNAJC3	NCKAP1L	chap_syn
DNAJC3	NCKIPSD	chap_syn
DNAJC3	STXBP1	chap_syn
DNAJC3	WASF2	chap_syn
DNAJC30	CRAT	chap_syn
DNAJC30	ETFDH	chap_syn
DNAJC30	HARS2	chap_syn
DNAJC30	LYNX1	chap_syn
DNAJC30	MAP1B	chap_syn
DNAJC30	PFKP	chap_syn
DNAJC30	RAB37	chap_syn
DNAJC30	RPN2	chap_syn
DNAJC30	SFPQ	chap_syn
DNAJC30	SLC6A11	chap_syn
DNAJC30	SOD1	chap_syn
DNAJC30	STX6	chap_syn
DNAJC4	ALDH3A2	chap_syn
DNAJC4	CKAP4	chap_syn
DNAJC4	LIPE	chap_syn
DNAJC4	PPP1CB	chap_syn
DNAJC4	SLC25A31	chap_syn
DNAJC4	SLC32A1	chap_syn
DNAJC4	TBC1D24	chap_syn
DNAJC4	VPS11	chap_syn
DNAJC5	ATP1B2	chap_syn
DNAJC5	CDC42BPA	chap_syn
DNAJC5	DIP2B	chap_syn
DNAJC5	PLA2G4A	chap_syn
DNAJC5	RPS13	chap_syn
DNAJC5	SYNJ1	chap_syn
DNAJC5	TPP1	chap_syn
DNAJC5G	APPL2	chap_syn
DNAJC5G	ARHGAP23	chap_syn
DNAJC5G	ARNT	chap_syn
DNAJC5G	ATP6V0D1	chap_syn
DNAJC5G	FBXO41	chap_syn
DNAJC5G	GIT1	chap_syn
DNAJC5G	GSTP1	chap_syn
DNAJC5G	JUP	chap_syn
DNAJC5G	KIF20B	chap_syn
DNAJC5G	MYO6	chap_syn
DNAJC5G	NEO1	chap_syn
DNAJC5G	STXBP1	chap_syn
DNAJC5G	SYNJ1	chap_syn
DNAJC5G	TRIO	chap_syn
DNAJC8	MARK2	chap_syn
DNAJC8	MYH10	chap_syn
DNAJC9	ACBD5	chap_syn
DNAJC9	ATXN10	chap_syn
DNAJC9	BASP1	chap_syn
DNAJC9	CA2	chap_syn
DNAJC9	CASKIN1	chap_syn
DNAJC9	COL1A1	chap_syn
DNAJC9	CYTH2	chap_syn
DNAJC9	DLG1	chap_syn
DNAJC9	GNAI1	chap_syn
DNAJC9	GPX1	chap_syn
DNAJC9	GUCY1A2	chap_syn
DNAJC9	HPCA	chap_syn
DNAJC9	NAP1L4	chap_syn
DNAJC9	RACGAP1	chap_syn
DNAJC9	RP2	chap_syn
DNAJC9	YES1	chap_syn
EDEM1	DLG3	chap_syn
EDEM1	EEF1B2	chap_syn
EDEM1	KCNA3	chap_syn
EDEM1	LMTK2	chap_syn
EDEM1	SLC27A4	chap_syn
EDEM1	SLC32A1	chap_syn
EDEM2	CAMK2A	chap_syn
EDEM2	MLF1	chap_syn
EDEM2	OGT	chap_syn
EDEM2	RRM1	chap_syn
EDEM2	USP15	chap_syn
ERLEC1	ABCB8	chap_syn
ERLEC1	ACTA1	chap_syn
ERLEC1	ALDH1A1	chap_syn
ERLEC1	AP2M1	chap_syn
ERLEC1	ATP6V0D2	chap_syn
ERLEC1	ATP8A2	chap_syn
ERLEC1	AVPI1	chap_syn
ERLEC1	COX5B	chap_syn
ERLEC1	CRAT	chap_syn
ERLEC1	GRIA1	chap_syn
ERLEC1	GRIA4	chap_syn
ERLEC1	IDH3B	chap_syn
ERLEC1	KCNA2	chap_syn
ERLEC1	LETM1	chap_syn
ERLEC1	LYNX1	chap_syn
ERLEC1	NCKIPSD	chap_syn
ERLEC1	OSCP1	chap_syn
ERLEC1	PAPLN	chap_syn
ERLEC1	PDHA1	chap_syn
ERLEC1	PEA15	chap_syn
ERLEC1	PHLDB1	chap_syn
ERLEC1	PKP4	chap_syn
ERLEC1	RAB21	chap_syn
ERLEC1	RAB37	chap_syn
ERLEC1	RPS4X	chap_syn
ERLEC1	SLC4A4	chap_syn
ERLEC1	SNTB2	chap_syn
ERLEC1	SNX5	chap_syn
ERLEC1	SYN3	chap_syn
ERLEC1	SYT17	chap_syn
ERLEC1	TCP11L1	chap_syn
FAXC	PEX11B	chap_syn
FKBP14	ACOT8	chap_syn
FKBP14	ANKRD24	chap_syn
FKBP14	ATP1B2	chap_syn
FKBP14	EFHD2	chap_syn
FKBP14	GRHPR	chap_syn
FKBP14	HCN2	chap_syn
FKBP14	KCNAB2	chap_syn
FKBP14	KIF3A	chap_syn
FKBP14	MTCH2	chap_syn
FKBP14	PRKG2	chap_syn
FKBP14	SV2C	chap_syn
FKBP15	IDH3A	chap_syn
FKBP15	PPFIA2	chap_syn
FKBP1B	CORO1B	chap_syn
FKBP3	ACTG1	chap_syn
FKBP3	ALDH6A1	chap_syn
FKBP3	CMPK1	chap_syn
FKBP3	PDPK1	chap_syn
FKBP3	PRDX6	chap_syn
FKBP3	PRKRA	chap_syn
FKBP3	PSMD1	chap_syn
FKBP7	AAK1	chap_syn
FKBP7	ABLIM1	chap_syn
FKBP7	AP1G1	chap_syn
FKBP7	CKAP4	chap_syn
FKBP7	CLIP3	chap_syn
FKBP7	HADH	chap_syn
FKBP7	PACSIN1	chap_syn
FKBP7	PPP2R1A	chap_syn
FKBP7	RPL23A	chap_syn
FKBP7	SLC1A2	chap_syn
FKBP7	SLC25A31	chap_syn
FKBP7	SYN2	chap_syn
FKBP8	CDH13	chap_syn
FKBP8	DYNC1H1	chap_syn
FKBP8	GDI1	chap_syn
FKBP8	GJB6	chap_syn
FKBP8	LANCL2	chap_syn
FKBP8	PRUNE2	chap_syn
FKBP8	VPS29	chap_syn
FKBP9	ALDH5A1	chap_syn
FKBP9	EPS15L1	chap_syn
GRPEL1	ACTN1	chap_syn
GRPEL1	AMPH	chap_syn
