	LGd	Chrna2	LP	LGv	Chrna3	Chrna1
Aak1	277.27969160079016	182.59448804780848	184.54687968749997	157.25554666666665	132.55505384615384	195.2906468965518
Mcm10	10.6577	10.440266666666666	41.95518	14.843399999999999	22.1474	11.5303
Slitrk6	115.90045748987849	45.892900000000004	123.48514245810061	0.0	0.4856	0.0
Prmt10	36.1073190798376	50.23298355263156	41.44391526717556	42.539992857142856	78.14189166666667	59.802794999999996
Tubgcp2	43.03389978563778	66.54029270833333	56.00289230769231	48.35006153846154	68.85155641025642	59.09254324324322
Casd1	58.767921802934985	98.61153086956524	76.48185639534883	71.77681538461539	127.94236382978728	95.2322052173913
Rabgap1l	116.39770805168972	176.35437569721108	83.68026825396825	98.26191333333331	129.78185769230774	157.88459436619723
Capn3	27.533774859287057	23.634766666666664	36.838485106382976	0.0	11.4904	4.0186
Slc4a1	12.9539	0.0	1.77555	0.0	0.4996	0.0
Elfn1	0.0	12.619166666666667	21.301335897435894	0.0	0.0	0.0
Swt1	29.73284836448599	58.72535734597153	33.76920774193549	44.690245454545455	63.20389999999999	56.6652435185185
Tpcn1	8.796128744939276	10.484826666666665	12.6671905982906	9.569840000000001	6.932518181818182	9.465893333333334
Lonp2	87.68137241725177	138.4203901709402	97.40880000000001	181.4401666666667	127.92511836734695	123.4038830882353
Mocos	4.3567800000000005	10.51548	16.1675	0.5664	12.613299999999999	11.901133333333334
Uhrf2	39.33522741433021	43.59978847926267	58.50745760869566	42.79385	78.95830212765956	47.67727903225808
Fes	19.984033060556456	4.698166666666666	16.629907692307693	4.116700000000001	0.0	3.7618500000000004
Tbc1d2b	17.850741428571446	25.725654838709684	23.941426666666665	11.892114285714287	28.08466875	26.620124999999994
Cdh1	0.75665	0.0	0.0	0.0	0.0	0.691
Cdc5l	78.5745863366336	101.38715802469142	70.81056631578947	68.41852142857141	83.629074	110.05597050359712
Mcm3	7.5955	0.6789	0.0	0.0	0.0	0.0
Agbl2	0.724942857142857	3.7765	0.0	0.0	0.4996	0.0
Chsy1	12.62973534743203	15.11760833333333	14.570729268292682	10.004349999999999	16.224992307692307	23.281419999999997
Myrip	25.20423649393604	14.421864285714289	25.956256862745093	21.569141666666667	15.9867	24.074799999999996
Tgfbrap1	23.852657125000018	29.985675496688728	25.221270370370377	32.7293625	33.08350625	26.891937681159416
Mycbpap	9.818908408408403	26.610061538461537	14.538594117647058	34.90725	19.30585	34.132922727272735
Rps6ka5	25.524825249169453	32.779686746987956	24.34662916666666	24.7306	36.415885714285714	38.74413809523809
Lrrc41	38.15489206349201	77.40063448275865	47.132246969696986	44.04177	89.33103695652174	79.97982755102036
Ptpra	94.03941666666667	80.47157468354432	129.9291487046632	149.40784000000002	203.23930377358485	72.55418222222222
Elp2	121.57003754980094	152.2620514767931	125.64238617021279	125.13491333333336	144.34140816326527	160.12485785714279
Lrrc8b	62.16052632653059	30.674985964912278	37.74583411764707	84.50702666666668	20.53662	31.043217021276593
Trpc1	46.065132528856246	21.37360559999999	40.14225568181817	34.17029	36.06155806451612	31.429473684210524
Itgb1	32.328982530795116	35.68504391534388	37.29025806451613	21.965649999999997	30.20778205128205	32.91821978021977
Armc2	13.153339726027397	18.094481818181812	17.119072580645163	10.739511111111112	18.918153333333333	26.03958064516129
Sidt1	15.752468749999998	34.85551382113822	28.738836111111116	102.31264285714288	48.03272222222222	44.60619230769231
Stat2	31.627233063583816	50.92224947368421	31.859412925170055	35.46744444444445	50.612724390243905	47.03209326923078
Rhbdf1	8.6915	22.028141304347827	31.598	28.62072857142857	28.49488333333333	23.148251612903227
Exosc10	39.28639517543861	74.54735022831052	44.46472710843373	45.68664545454545	88.33667435897435	87.4758754385965
Pml	18.111408661417325	28.522594285714288	13.159711999999999	20.8525	47.80000625	39.01979687500001
C7	5.445269852941176	4.23105	8.385389999999997	0.0	6.3982	0.0
Sf3a1	49.515539260020574	77.31093389830514	47.10843798882682	58.27665384615385	86.50452244897957	82.22682030075185
Wdr24	34.22933984674329	52.96889068322981	37.9748675	32.55406666666667	59.463157692307696	66.80071038961039
Kifap3	363.9517177865611	575.7143722222224	338.2747398963731	320.0403733333334	574.4019555555556	589.6307226027399
Taf4b	20.858803883495142	32.61021176470587	26.09021509433962	66.23613333333334	39.986799999999995	35.80956666666667
Zak	39.196124715615305	18.15957216494846	22.67855876288661	15.204377777777776	10.788564285714287	18.9957875
Fam171b	202.8667842885376	175.91711919999992	219.88665364583326	207.66907333333333	211.11767450980395	205.41946896551732
Mphosph8	133.64150820969357	128.80418134920632	120.33981197916665	108.26649333333332	107.39081851851851	129.2654035460993
Ncam2	23.45912384393064	60.085235416666684	32.13487886178861	67.19674285714284	55.77673421052632	67.8983359649123
Hsp90b1	411.718171442688	824.4334912698408	545.590107253886	537.8219799999999	892.912	764.352334931507
Usp16	62.10026412825655	51.05662123893805	51.482335911602235	56.591515384615384	52.00488863636365	59.791363333333344
Anapc4	74.98194585858589	135.51666983471077	82.03176956521739	63.422623076923074	115.49605576923074	133.88415185185187
Ppp1r13l	8.401420796460176	8.830482926829266	8.161394871794874	10.078233333333335	13.394400000000001	10.456333333333331
Abcf1	89.8927186758892	68.28277845528456	93.29890575916227	68.62628666666666	82.92567199999999	83.20452695035455
Slc9a1	30.273673225806437	24.061233613445385	28.97797037037035	32.13494285714285	27.275577777777773	31.157386153846158
Cdh22	0.0	6.671806666666668	22.093023809523807	24.725512499999997	20.938233333333333	0.0
Ppargc1a	78.64174380664659	86.64260042194095	48.515633333333334	39.619725	90.19200666666664	109.98373453237413
Gen1	14.567602985074625	16.63395	17.141613333333332	45.841	30.55735	34.518875
Gripap1	70.22480725646129	101.47806370967743	68.93814270270272	65.21666923076924	81.846228	105.77506643356641
Fam171a2	2.8356896013864796	7.48408382352941	14.629741830065363	17.65727692307692	32.95609555555556	4.4475621621621615
Ern2	0.6279	0.6092	4.9985	0.0	0.0	42.74016
Ltk	15.578938461538456	12.854222222222225	8.132614285714284	29.33215714285714	14.9639	18.6784
