	P	GABA1	Pulv	K2	GABA4	GABA3
PLEC	274.18111047120385	299.7989615384615	359.9865459558824	347.1777267605634	243.23499230769227	168.95724626865677
FAT3	227.9082805807622	147.95796470588238	645.5011480144399	636.9240666666669	463.19800799999996	852.4771602996253
DNAH5	125.12732535211268	5.3448	102.33039166666667	69.32662	0.0	328.9201857142857
DNAH8	6.950042857142856	0.0	47.14439999999999	20.323466666666665	32.7161	52.06445
HUWE1	257.8665659246576	154.86890425531914	240.25534828897332	231.65034366197187	156.01374090909096	237.68255528455285
DNHD1	91.03781136363638	117.25384444444444	117.17767999999998	73.11587906976743	48.1213	121.57044852941178
VPS13D	324.60763105175266	248.37399249999999	306.0752086142322	318.65816056338014	297.1545000000001	218.53508258928574
ABCA13	12.5166	6.06865	46.9229	87.7208	65.4322	78.99712000000001
DNAH10	48.24145824742268	46.828488888888884	42.26942307692307	25.35309473684211	64.79511428571429	47.99265151515152
FAT1	178.59758737270877	280.11215833333335	87.47889411764706	89.427805	0.0	82.33229166666666
DYNC2H1	428.35513134582635	489.48025918367324	398.80760113207543	381.7881042253522	435.8341782608697	340.1104632034631
DNAH9	106.96466415094335	38.056799999999996	236.42964090909095	96.33821428571427	16.358	75.49998947368421
HSPG2	41.4282	7.0665	49.91972	0.0	11.18375	13.347999999999999
DNAH2	6.818556249999998	27.46539090909091	7.939888571428569	20.14062	9.81895	7.05238888888889
DNAH1	69.276505	60.5017	75.42865	9.565380000000001	52.87785000000001	84.7147
FAT2	54.872343712574846	68.55718461538461	56.9596724832215	64.00478461538462	89.74763333333334	65.99859508196721
APOB	83.81265714285715	0.0	87.88879999999999	6.6881	0.0	0.0
PRKDC	209.77596306306302	270.7414864864867	327.2021853846155	266.78131044776126	221.99859473684208	250.40618783783793
DNAH6	112.13690425531914	98.82333333333334	102.85803103448278	96.71525238095236	11.4427	84.76351499999998
PKHD1L1	33.25255	0.0	31.02555	23.41072	6.474349999999999	45.523028571428576
DNAH7	51.26329545454544	0.0	27.832714285714285	38.375099999999996	6.371	58.84458888888889
TRRAP	137.1455314350798	255.4887307692307	173.74294094827593	163.8130377049181	192.41281499999997	227.52509955357138
DNAH3	0.0	0.0	0.0	0.0	0.0	0.0
VPS13B	210.39017309941516	193.52092941176466	243.32182345679007	203.37689230769226	154.93273125000002	245.40098009478658
STARD9	123.51689829059814	71.43322857142859	94.47938970588234	117.48511578947368	254.67852777777782	271.81164429824554
PKD1	0.0	0.0	0.0	0.0	0.0	0.0
TNXB	33.73205	42.336	29.73426666666667	228.0742	0.0	43.89025384615385
FRAS1	343.266261497326	357.19612647058824	371.06396770428	171.65337857142856	65.4322	172.9656884615385
CSMD3	300.26810877192986	356.7751693877551	208.24956485355648	240.56656615384617	433.1449904761904	276.24814472573837
PKHD1	19.957677777777782	6.6836	41.5958	58.336969230769235	0.0	79.22163333333333
ZFHX3	0.0	0.0	0.0	0.0	0.0	0.0
SMG1	0.0	0.0	0.0	0.0	0.0	0.0
ANK2	1199.03727227564	627.8139196078431	916.7387675090251	1028.921678082192	448.5245307692307	541.1448090566038
LYST	170.1285174013921	327.54177045454543	226.53142036199097	182.95341311475408	308.19864399999994	328.5794823293171
USP34	400.8257028239202	454.38312391304356	383.22271985294117	387.49279305555564	585.80592	440.32983928571423
DMD	749.8152542071199	448.07437142857134	400.4520169172929	453.75955522388057	183.12647777777772	479.29356079295155
AKAP9	1848.1397858747991	1395.7904264150939	1812.752916666667	1658.5255287671234	2207.825576923077	1584.7805164794022
ZFHX4	247.7260939114391	22.018050000000002	185.7346830275228	242.263976119403	660.885716	364.05535333333336
CSMD1	114.23318888888886	222.6080392857143	85.59120687022902	125.55683965517242	334.7844954545454	234.98611422594132
VPS13C	1181.9452557692293	465.44773125	965.5768952898546	961.2913027397261	519.105925	442.4212261718751
WDFY3	257.6098728904848	288.1883921052631	220.2400484732825	215.81541159420297	311.03220000000005	214.89959090909085
RELN	68.10567567567567	672.3865322580644	53.78085151515151	21.556509090909092	378.958164	253.55206160337553
ALMS1	127.132441160221	184.99282173913042	152.65589587628872	128.68886981132076	329.04184615384617	238.1553194029851
SVEP1	54.23478600000001	21.1996	57.645107246376824	44.82970000000001	138.6859	79.0773588235294
BSN	238.60254639556373	198.5908342857143	205.92400236220467	206.44944696969696	217.4270117647059	166.83135105263167
SPEN	184.65603213483135	320.36651428571435	156.0081971751412	158.71117758620696	246.6641058823529	201.02680119047614
CSMD2	33.95981176470589	99.13074210526314	40.396663636363634	34.294525	62.773833333333336	49.0324875
CUBN	25.62263636363636	11.045833333333334	47.34899999999999	29.492075	5.857	8.571878947368422
