logFC	logCPM	PValue
Dmxl1	-0.304867505438369	6.86271034723544	0.215339369578988
Cep350	-1.54984124614136	7.25384872276707	4.09975126741123e-13
Ash1l	-0.986928022334541	7.99068547066456	2.99561019482872e-06
Ep400	-0.346061768274745	6.53584796374213	0.0448102052162832
Mga	0.297566415430058	6.97818449064726	0.192287401802743
Speg	-2.17874346819267	6.60757242797178	2.74400512257779e-06
Bptf	-1.16801906237321	7.72211340052133	5.73514801875996e-07
Chd9	11.0584332885849	6.70927971646188	6.70011327975973e-130
Brca2	-0.544922544401541	5.78768567859474	0.211731993448031
Celsr2	0.655039251485475	6.70596261350807	0.0134148898686689
Nf1	-0.796257094518526	6.03522184673936	0.00814157624970939
Trank1	0.0344133419867049	7.67920785380081	0.927816113919482
Zzef1	-0.12388978060233	5.8134006826057	0.655951430834573
Dsp	-0.259701332502914	3.14957027872645	0.932174439803291
Ubr5	-0.95592084563023	7.46434041773401	0.00054788689150297
Nipbl	-0.803068186076447	7.17098600366995	1.84457039982192e-05
Prrc2c	-1.34026312217258	8.45492963293207	2.88679267339538e-07
Tnrc18	-1.15789637007048	5.27269536507936	0.000288300630050343
Itpr1	1.74388612750618	7.24547159417525	3.16147119581663e-15
Cenpf	-2.01013615772792	5.27500720629597	0.108413394808275
Tenm4	-0.229032527470936	6.92621343602292	0.616448621615739
Bod1l	-0.831017018085094	8.16008017138247	0.00267612907216205
Tenm1	1.12802546391112	6.89588438963478	0.0180311905792969
Apc	-0.270613781052483	7.91043105017409	0.302942195837647
Tenm3	0.677422564460441	6.28157763999119	0.0655026462334225
Lrba	-0.952891155331399	5.89664835240171	4.72086069885207e-05
Megf8	-0.537908922212285	6.84308616473955	0.0123814980943825
Flnc	-3.06269905748742	3.98685832128159	0.0698317498370576
Tenm2	-0.245268163689997	7.61967183305425	0.57702332278175
Piezo2	-7.2051392739665	5.64403376931289	5.22559140459024e-29
Itpr2	-2.86299190725518	7.1865583123731	2.67163179121095e-06
Prune2	0.735854650117049	7.03411694613453	0.0324893075258675
Itpr3	0.169669300263884	4.23583745398147	0.890954978703139
Chd6	-0.389763342032689	7.71320356159701	0.0919199444519458
Srrm2	12.5818293106753	8.22531959249271	1.44035826713035e-89
Vwf	-4.19870643700365	3.62900083107671	0.137114193285777
Hectd1	-0.338119381129356	6.9854260085431	0.115267052792171
Zfp292	-1.59296446205928	7.84244696188014	1.98513731800965e-15
Flna	0.628545895884569	5.82222487887937	0.0311367269925656
Utp20	-0.992502204982566	5.87724159839874	0.0155139412757317
Usp24	-0.193867218009028	6.37564956859672	0.34413274787146
Nsd1	-0.531025960177323	7.49605128809715	0.0149533410280195
Notch1	0.799807947077711	3.13534367043826	0.501124071766281
Atr	-1.612343602742	7.06950045361998	2.64790387136854e-07
Mki67	-0.897022253283746	3.82408295239183	0.712846657794912
Nbeal1	-0.0811313213765384	6.65477193906044	0.684487846271313
Usp9x	0.802836223212208	6.93457172279071	0.00071169768732963
Chd8	-0.724606631646857	6.56856157618994	0.00356491227796169
Ankrd17	-0.266072216745022	7.46947443810049	0.397702414575982
Mtor	-0.567172319081616	6.6044912294687	0.0276898064180198
Flnb	-0.641796057344894	6.66184159926129	0.0546118671349501
Map1a	-1.32466284149075	8.52076785137717	0.0166478038239157
Zfp462	-0.525134006665676	6.06154306391305	0.0791278253156706
Notch2	-3.58997767505857	4.7374275446862	0.00095169587168711
Abca12	-0.474493291346915	4.35943598264334	0.761131719459432
Jmjd1c	-1.66104433787617	7.79457017346643	3.94757391994388e-07
Crebbp	10.5187226056398	6.17633299446981	1.04108690754177e-61
Tln1	-1.47874737722679	5.98944424808614	6.37273349622009e-07
Sptan1	1.13378374529832	8.5963496072708	0.00257580777173839
Pcnt	-1.57070288408778	6.26342573700806	7.55789211001793e-14
Setd2	-1.06841419124752	7.07030266301549	1.17342260891711e-06
Hivep1	-0.637746171620379	6.09334037720641	0.0105002453930249
Epg5	-0.328462506045744	5.85966522657395	0.141965526905523
Stab1	-0.267470653027492	3.05582644625311	0.89893896405832
Akap13	-0.142214033540919	6.50955474762487	0.593412538276647
Cenpe	-1.69258569655443	5.99395844618316	3.57073622875268e-05
Nbeal2	-0.196676136945461	4.61165065658848	0.759498947554666
Fn1	-5.07914724485168	4.37387333283196	3.49528924398473e-09
Ep300	-0.727238694580094	6.42362341087673	0.00129989328706915
Atrx	0.169738177072455	8.88902243998826	0.405491479076366
Myo9a	0.411045975271287	7.48682692776422	0.0596635850203151
