uniprot	unigene	gene	index	order
L7N285_MOUSE	Gm3115	Gm3115	15434	0
D3YUJ3_MOUSE	Ccnyl1	Ccnyl1	4748	0
V9GX38_MOUSE	Gm17190	Gm17190	11535	0
G3X9Z4_MOUSE	Pcf11	Pcf11	36958	0
E9Q2Y0_MOUSE	Eid2b	Eid2b	7305	0
A2A9U8_MOUSE	Cela3a	Cela3a	5046	0
A0A075B5N8_MOUSE	Igkv3-10	Igkv3-10	24906	0
A2ANY6_MOUSE	Mdn1	Mdn1	32268	0
E9QA57_MOUSE	Spata31d1b	Spata31d1b	41283	0
A0A0G2JFW2_MOUSE	Trdj2	Trdj2	43264	0
A0A1B0GR13_MOUSE	Cylc1	Cylc1	6089	0
G3UZN6_MOUSE	Abhd12b	Abhd12b	2317	0
A2A580_MOUSE	1700025C18Rik	1700025C18Rik	276	0
A0A075B5M2_MOUSE	Igkv4-61	Igkv4-61	24929	0
A0A075B5Y2_MOUSE	Ighv1-75	Ighv1-75	24710	0
A0A075B636_MOUSE	Trav14n-3	Trav14n-3	43116	0
A0A1L1SUS1_MOUSE	Olfr857	Olfr857	36422	0
E9Q7L6_MOUSE	Foxn2	Foxn2	8395	0
A0A5F8MPY2_MOUSE	Rplp2-ps1	Rplp2-ps1	39434	0
A0A087WPN7_MOUSE	Ighv13-2	Ighv13-2	24734	0
A0A075B6C9_MOUSE	Trav13-4-dv7	Trav13-4-dv7	43099	0
A0A0B4J1P2_MOUSE	Trbj2-5	Trbj2-5	43221	0
E9PYD7_MOUSE	Kbtbd6	Kbtbd6	25430	0
A0A5F8MPQ6_MOUSE	Gm31160	Gm31160	15443	0
D3Z0K6_MOUSE	Rsbn1l	Rsbn1l	39640	0
D3Z757_MOUSE	Wdr86	Wdr86	44888	0
G5E8K1_MOUSE	2610028H24Rik	2610028H24Rik	766	0
A0A0A6YXC7_MOUSE	Ighj4	Ighj4	24629	0
E9PUN6_MOUSE	Adamts9	Adamts9	2539	0
A0A0B4J1J3_MOUSE	Igkv8-18	Igkv8-18	24968	0
W4VSP1_MOUSE	Speer3	Speer3	41314	0
A0A286YCV9_MOUSE	Kif13b	Kif13b	25600	0
A2CG07_MOUSE	Gm15217	Gm15217	10948	0
A0A140T8L4_MOUSE	Olfr625-ps1	Olfr625-ps1	36177	0
A0A087WNZ6_MOUSE	1700025B11Rik	1700025B11Rik	275	0
A0A087WRH8_MOUSE	Gm5157	Gm5157	20495	0
A0A338P708_MOUSE	Gm20741	Gm20741	13389	0
D3Z1Y0_MOUSE	Gm281	Gm281	14079	0
A0A2I3BRX0_MOUSE	Olfr104-ps	Olfr104-ps	35190	0
S4R1E0_MOUSE	Gm14920	Gm14920	10831	1
E9PVZ7_MOUSE	Olfr918	Olfr918	36482	0
F6ZMY5_MOUSE	Gm8212	Gm8212	22426	0
K7N757_MOUSE	Gm3667	Gm3667	19670	0
D3YX25_MOUSE	Gm7257	Gm7257	21854	1
A2AUQ8_MOUSE	4930402F06Rik	4930402F06Rik	986	0
J3QMU9_MOUSE	Gm21028	Gm21028	13537	0
Q5NC41_MOUSE	1810065E05Rik	1810065E05Rik	598	0
A0A286YDB2_MOUSE	4930469K13Rik	4930469K13Rik	1143	0
G3X904_MOUSE	Zfp275	Zfp275	45288	0
A0A0B4J1J1_MOUSE	Igkv5-45	Igkv5-45	24955	0
E9PV26_MOUSE	Prr36	Prr36	38079	0
A0A075B5R7_MOUSE	Ighv14-2	Ighv14-2	24736	0
L7N481_MOUSE	Gm6309	Gm6309	21311	0
E9PUU5_MOUSE	Zfp839	Zfp839	45543	0
A0A075B606_MOUSE	Trav13d-1	Trav13d-1	43100	0
E0CX23_MOUSE	Umad1	Umad1	43880	0
A0A140T8P8_MOUSE	Trbv17	Trbv17	43236	0
A2A5X6_MOUSE	Krtap17-1	Krtap17-1	25890	0
A0A075B5X2_MOUSE	Ighv1-63	Ighv1-63	24697	0
A0A140LHS9_MOUSE	Olfr1438-ps1	Olfr1438-ps1	35612	0
E9Q8V1_MOUSE	Lce3d	Lce3d	31479	0
D3Z393_MOUSE	Mkrn2os	Mkrn2os	33699	0
B8JJD3_MOUSE	Fance	Fance	8018	0
A0A0B4J1F8_MOUSE	6330419J24Rik	6330419J24Rik	1739	1
B1AZM5_MOUSE	Gm12886	Gm12886	9944	0
A0A1W2P8B8_MOUSE	Gm12248	Gm12248	9659	0
E9PXQ7_MOUSE	Pcdh10	Pcdh10	36883	0
I7HJI3_MOUSE	Serpinb6e	Serpinb6e	40147	0
L7N463_MOUSE	Cyp2d34	Cyp2d34	6152	0
J3QMB3_MOUSE	1190003K10Rik	1190003K10Rik	64	1
A0A1L1SR87_MOUSE	1810010D01Rik	1810010D01Rik	559	1
A0A087WR45_MOUSE	Prob1	Prob1	38016	0
A0A0G2JDZ0_MOUSE	Traj56	Traj56	43045	0
A0A0G2JFM0_MOUSE	Traj38	Traj38	43025	0
A0A0G2JEB4_MOUSE	Traj6	Traj6	43049	0
A0A0B4J1M0_MOUSE	Ighv1-77	Ighv1-77	24712	0
A0A1L1SR47_MOUSE	Slc6a16	Slc6a16	40747	0
K7N645_MOUSE	Olfr519	Olfr519	36062	0
Q5SXC4_MOUSE	Vezf1	Vezf1	44081	0
A0A140LIS8_MOUSE	Gm4756	Gm4756	20210	0
A0A286YDK0_MOUSE	3110040M04Rik	3110040M04Rik	878	0
L7N296_MOUSE	Gm3739	Gm3739	19883	0
A0A075B5M7_MOUSE	Igkv5-39	Igkv5-39	24952	0
A0A1Y7VMD6_MOUSE	Lrrc74a	Lrrc74a	31813	0
B1AUC4_MOUSE	Ube2u	Ube2u	43773	0
A0A140LJ24_MOUSE	Gm4131	Gm4131	20014	0
E9Q6D7_MOUSE	1700024B05Rik	1700024B05Rik	267	0
Q5SUF7_MOUSE	Cacna1g	Cacna1g	4325	0
J3QN01_MOUSE	Ms4a18	Ms4a18	33995	0
G3UYU0_MOUSE	Mex3a	Mex3a	32381	0
A2A447_MOUSE	Rhox2b	Rhox2b	38910	0
E0CZ42_MOUSE	Fer1l6	Fer1l6	8185	0
A0A075B5V8_MOUSE	Ighv1-47	Ighv1-47	24676	0
A0A2I3BPG9_MOUSE	Rpl36a-ps1	Rpl36a-ps1	39378	0
E9QAP1_MOUSE	Zfp764	Zfp764	45507	0
A0A1W2P7U0_MOUSE	Gm3285	Gm3285	16721	0
E9Q409_MOUSE	Prss32	Prss32	38111	0
E9Q5G2_MOUSE	Pcdhb9	Pcdhb9	36932	0
K7N686_MOUSE	Vmn2r32	Vmn2r32	44648	0
E9PZI8_MOUSE	Gm7233	Gm7233	21837	0
K7N6W9_MOUSE	Vmn1r170	Vmn1r170	44300	0
A0A0A6YXW6_MOUSE	Igha	Igha	24599	0
A2A588_MOUSE	Krtap1-3	Krtap1-3	25877	0
E9QAQ8_MOUSE	Muc5ac	Muc5ac	34127	0
A0A494B9T5_MOUSE	Vmn1r235	Vmn1r235	44369	0
E9PX57_MOUSE	Kif6	Kif6	25634	0
A0A286YEC0_MOUSE	Gm29776	Gm29776	14414	0
E9Q963_MOUSE	Gm1661	Gm1661	11457	1
M0QW46_MOUSE	Ascl4	Ascl4	3378	0
A0A1D5RLS7_MOUSE	Gm35911	Gm35911	19087	1
E9Q7P1_MOUSE	Col22a1	Col22a1	5606	0
L7N471_MOUSE	Gm7980	Gm7980	22286	0
A0A075B5T1_MOUSE	Ighv12-3	Ighv12-3	24732	0
E9PZX4_MOUSE	Vmn2r87	Vmn2r87	44707	0
A0A1B0GS00_MOUSE	Gm36210	Gm36210	19320	0
A2A5X3_MOUSE	Krtap9-5	Krtap9-5	25930	0
F6R7E8_MOUSE	Gm2663	Gm2663	13939	0
A0A7N9VSS4_MOUSE	Muc6	Muc6	34129	0
F7C950_MOUSE	Gm9573	Gm9573	23213	1
A0A075B5T7_MOUSE	Ighv1-7	Ighv1-7	24704	0
F6TQW2_MOUSE	Ighg2c	Ighg2c	24624	0
A0A0J9YVH6_MOUSE	1520401A03Rik	1520401A03Rik	85	0
E9Q9F7_MOUSE	Ccdc146	Ccdc146	4574	0
L7N279_MOUSE	Vmn2r102	Vmn2r102	44605	0
W4VSP0_MOUSE	Olfr122	Olfr122	35378	0
E9PV37_MOUSE	Olfr250	Olfr250	35795	0
E9Q891_MOUSE	Olfr251	Olfr251	35796	0
E9Q9S8_MOUSE	Glrp1	Glrp1	8879	0
Q5SP45_MOUSE	5730522E02Rik	5730522E02Rik	1695	0
A0A3B2WBC8_MOUSE	Vmn2r60	Vmn2r60	44679	0
F6YQT7_MOUSE	Lipi	Lipi	31627	0
K7N701_MOUSE	Vmn1r159	Vmn1r159	44290	0
G3UYQ4_MOUSE	Ak9	Ak9	2717	0
J3QPC1_MOUSE	Gm933	Gm933	23082	1
A0A0G2JGB2_MOUSE	Gm5565	Gm5565	20795	0
A2ASU7_MOUSE	Olfr1024	Olfr1024	35173	0
A0A0B4J1G8_MOUSE	Trbv2	Trbv2	43239	0
A2BHD2_MOUSE	Gm14743	Gm14743	10756	0
E9PYP1_MOUSE	Ces1a	Ces1a	5126	0
J3QMN2_MOUSE	3110021N24Rik	3110021N24Rik	874	0
B1AY64_MOUSE	Cypt3	Cypt3	6231	0
E9Q1J0_MOUSE	Zfp558	Zfp558	45411	0
L7MUB4_MOUSE	Gm15023	Gm15023	10869	0
E9Q913_MOUSE	G430095P16Rik	G430095P16Rik	8534	0
A0A075B693_MOUSE	Ighv8-4	Ighv8-4	24805	0
K7N5U4_MOUSE	Gm14496	Gm14496	10649	0
D3Z2X2_MOUSE	Dnhd1	Dnhd1	6865	0
G3X9M9_MOUSE	Tmem116	Tmem116	42522	0
H7BX60_MOUSE	Pot1b	Pot1b	37694	0
K7N709_MOUSE	Gm10302	Gm10302	9022	0
B1AUN2_MOUSE	Eif2b3	Eif2b3	7322	0
E9PYG6_MOUSE	Rasa1	Rasa1	38591	0
L7N2B1_MOUSE	Vmn2r20	Vmn2r20	44635	0
A0A0G2JE99_MOUSE	Iglc1	Iglc1	24987	0
A2AFH1_MOUSE	Ube2dnl1	Ube2dnl1	43746	0
J3QK46_MOUSE	Tmem200c	Tmem200c	42617	0
B1AYL1_MOUSE	Scn7a	Scn7a	39932	0
A0A0G2JG57_MOUSE	Traj21	Traj21	43007	0
E9Q9B7_MOUSE	Kidins220	Kidins220	25596	0
G5E851_MOUSE	1700017D01Rik	1700017D01Rik	206	1
A0A1L1STD6_MOUSE	Inafm2	Inafm2	25133	0
E9Q0M3_MOUSE	Gm9268	Gm9268	23037	1
E9Q2C0_MOUSE	Cfap46	Cfap46	5157	0
A0A1W2P709_MOUSE	Gm2696	Gm2696	14007	0
A0A0G2JEU3_MOUSE	Trdc	Trdc	43260	0
E9PYP2_MOUSE	Nbeal1	Nbeal1	34401	0
E9QAB5_MOUSE	Gm5134	Gm5134	20479	0
A0A2I3BQR4_MOUSE	Olfr239	Olfr239	35787	0
A2AW66_MOUSE	Gm14322	Gm14322	10558	0
E9Q7M2_MOUSE	Tsc22d2	Tsc22d2	43476	0
A2AQ92_MOUSE	Duox1	Duox1	7016	0
E9Q295_MOUSE	Gm973	Gm973	23280	0
A0A075B5K7_MOUSE	Igkv14-100	Igkv14-100	24875	0
E9Q564_MOUSE	Olfr608	Olfr608	36159	0
A2ASX7_MOUSE	9230102O04Rik	9230102O04Rik	1830	0
E9Q046_MOUSE	Tcp10c	Tcp10c	42139	0
G3UY31_MOUSE	Gm21671	Gm21671	13696	0
K7N705_MOUSE	Vmn2r33	Vmn2r33	44649	0
B1AUY3_MOUSE	Arhgap4	Arhgap4	3215	0
E0CXC6_MOUSE	4930558K02Rik	4930558K02Rik	1364	0
A2AE21_MOUSE	Zfp300	Zfp300	45303	0
A0A075B6B9_MOUSE	Trav6d-5	Trav6d-5	43171	0
K7N747_MOUSE	Vmn2r109	Vmn2r109	44612	0
A0A0A6YYE2_MOUSE	Trbv3	Trbv3	43250	0
A2AJ38_MOUSE	Gm13941	Gm13941	10422	0
A0A075B5J4_MOUSE	Trbc2	Trbc2	43207	0
A0A0G2JE21_MOUSE	Traj43	Traj43	43031	0
K7N6Y5_MOUSE	Gm8011	Gm8011	22304	0
A2AK85_MOUSE	6330409D20Rik	6330409D20Rik	1733	0
S4R1W1_MOUSE	Gm3839	Gm3839	19920	0
E9Q1C7_MOUSE	Gm10471	Gm10471	9078	0
A0A1D5RLF0_MOUSE	Fbxw27	Fbxw27	8138	0
A0A0G2JG86_MOUSE	Traj15	Traj15	43000	0
A0A1Y7VMP7_MOUSE	Mlh3	Mlh3	33709	0
E9PYQ5_MOUSE	D830030K20Rik	D830030K20Rik	6339	0
E9Q637_MOUSE	Gm15319	Gm15319	10985	0
E0CXI6_MOUSE	Gm5286	Gm5286	20594	1
A0A140LJJ2_MOUSE	Gm13420	Gm13420	10199	0
A0A0B4J1I4_MOUSE	Igkv4-72	Igkv4-72	24937	0
A2AEN9_MOUSE	Gm5938	Gm5938	21065	0
E9Q1N7_MOUSE	Gm8126	Gm8126	22368	0
A0A1B0GSX1_MOUSE	Gm11634	Gm11634	9392	0
A0A140LHS7_MOUSE	Olfr1432	Olfr1432	35607	0
