uniprot	unigene	gene	index	order
F7BP18_MACMU	CUZD1	CUZD1	3845	0
F7GGG0_MACMU	CA6	CA6	2241	0
F6XQI5_MACMU	SPATC1	SPATC1	14901	0
A0A5F8AKS1_MACMU	SCAF8	SCAF8	13710	0
F6YMT7_MACMU	NYNRIN	NYNRIN	10688	0
A0A5F8A330_MACMU	LMNB2	LMNB2	8646	0
A0A5F7ZPL5_MACMU	NKX2-2	NKX2-2	10321	0
F6ZA88_MACMU	TPO	TPO	16394	0
F6YBP7_MACMU	CFD	CFD	3034	0
F6YJA6_MACMU	ZNF195	ZNF195	17803	0
F7FWM1_MACMU	LIX1	LIX1	8627	0
F7EWD9_MACMU	MCCD1	MCCD1	9185	0
F6WDV7_MACMU	LRFN4	LRFN4	8713	0
F7HGW9_MACMU	IRX6	IRX6	7671	0
F7GVI4_MACMU	LMAN1L	LMAN1L	8633	0
A0A5F7ZFV3_MACMU	INSRR	INSRR	7591	0
F6ZMA8_MACMU	CHRNA10	CHRNA10	3128	0
A0A5F7ZDZ4_MACMU	PLIN1	PLIN1	11908	0
A0A1D5QQR6_MACMU	SLC25A17	SLC25A17	14312	0
A0A5F7ZZT8_MACMU	PEX11G	PEX11G	11552	0
A0A5F8AP79_MACMU	DSCAM	DSCAM	4549	0
A0A5F8AK83_MACMU	SF3A2	SF3A2	13997	0
A0A5F8AFQ8_MACMU	NSMCE1	NSMCE1	10557	0
A0A1D5QFY7_MACMU	B3GAT1	B3GAT1	1282	0
F6SHZ2_MACMU	NDRG3	NDRG3	10120	0
F7HE10_MACMU	FGFBP1	FGFBP1	5687	0
F7HHQ0_MACMU	SGCZ	SGCZ	14035	0
F7G521_MACMU	SPSB4	SPSB4	15002	0
F6PW66_MACMU	SAMD15	SAMD15	13658	0
F7H077_MACMU	AKIRIN2	AKIRIN2	467	0
A0A1D5QL17_MACMU	DERL1	DERL1	4223	0
F6SFB7_MACMU	ZMYND8	ZMYND8	17762	0
F7H7S2_MACMU	STAC3	STAC3	15143	0
F7ERL2_MACMU	OLA1	OLA1	10735	0
A0A1D5QFT4_MACMU	SH3GL1	SH3GL1	14081	0
F7H268_MACMU	DRD5	DRD5	4540	0
A0A5F7ZVR9_MACMU	TUBAL3	TUBAL3	16749	0
A0A1D5QGH4_MACMU	SCRIB	SCRIB	13781	0
F7DUE0_MACMU	SMARCA2	SMARCA2	14626	0
F6ZCA9_MACMU	PPFIA1	PPFIA1	12130	0
F7E5E7_MACMU	RAD51C	RAD51C	12820	0
A0A5F8A7S2_MACMU	ARTN	ARTN	1020	0
F7DJ75_MACMU	NTRK1	NTRK1	10593	0
A0A5F8AAN8_MACMU	MTMR1	MTMR1	9791	0
F6Q1E8_MACMU	CHTF18	CHTF18	3160	0
F6UQ30_MACMU	GSG1	GSG1	6646	0
A0A5F8ABM7_MACMU	JAG2	JAG2	7761	0
F7GP55_MACMU	POR	POR	12081	0
F7H4W3_MACMU	TONSL	TONSL	16342	0
F7D094_MACMU	NCK2	NCK2	10084	0
A0A5F7ZDH0_MACMU	RFX8	RFX8	13106	0
F7ES81_MACMU	RESP18	RESP18	13071	0
F7DIW0_MACMU	LRRC17	LRRC17	8748	0
A0A5F7ZDA5_MACMU	RALGPS1	RALGPS1	12844	0
A0A5F8AMJ9_MACMU	NAGLU	NAGLU	10010	0
A0A5F7ZK32_MACMU	CCDC61	CCDC61	2568	0
F6VYJ7_MACMU	NKX2-4	NKX2-4	10323	0
F6VE85_MACMU	RAB2B	RAB2B	12751	0
F6Q8U4_MACMU	MTHFD2L	MTHFD2L	9783	0
F6QEJ0_MACMU	RGS22	RGS22	13135	0
A0A5F7ZAH5_MACMU	CD200	CD200	2719	0
F7H8G2_MACMU	RRP1B	RRP1B	13524	0
F7FRK6_MACMU	HADHA	HADHA	6767	0
F7E086_MACMU	IL20RB	IL20RB	7488	0
F7GUG7_MACMU	PRPF3	PRPF3	12386	0
F7H0Q1_MACMU	TBC1D2	TBC1D2	15532	0
A0A5F7Z9D8_MACMU	SLC45A1	SLC45A1	14483	0
F6WBW6_MACMU	MAPK7	MAPK7	9089	0
F6PJ95_MACMU	F11	F11	5161	0
A0A5F8ACS0_MACMU	ARL6IP6	ARL6IP6	961	0
F7A121_MACMU	CHRDL2	CHRDL2	3121	0
F7HDT1_MACMU	CCDC78	CCDC78	2586	0
F7EIB3_MACMU	NFATC3	NFATC3	10234	0
F6Y0K6_MACMU	SH3BP5L	SH3BP5L	14078	0
A0A1D5QJ33_MACMU	TMEM179	TMEM179	16045	0
A0A1D5QJ13_MACMU	PLLP	PLLP	11919	0
A0A5F8AB16_MACMU	ZBTB3	ZBTB3	17572	0
A0A1D5RIB1_MACMU	AK2	AK2	443	0
F7GWV6_MACMU	MZF1	MZF1	9969	0
F6V9X3_MACMU	PATE1	PATE1	11281	0
F7FLC1_MACMU	ILF3	ILF3	7530	0
F7HAB0_MACMU	SH3BP1	SH3BP1	14074	0
F7FLV6_MACMU	TIGD5	TIGD5	15845	0
F7HU91_MACMU	TCFL5	TCFL5	15620	0
A0A5F8A0N5_MACMU	KCNC4	KCNC4	7849	0
F7H8J8_MACMU	TMEM79	TMEM79	16185	0
A0A1D5R1Z4_MACMU	TULP4	TULP4	16770	0
F7GV75_MACMU	PHF21B	PHF21B	11645	0
F7GJ09_MACMU	NPW	NPW	10485	0
A0A5F8ADU5_MACMU	LRRC58	LRRC58	8789	0
A0A5F7ZEH2_MACMU	TMED8	TMED8	15958	0
F7DTL5_MACMU	PEX16	PEX16	11556	0
F7HE46_MACMU	RNF180	RNF180	13297	0
F6Y9B8_MACMU	PKP2	PKP2	11806	0
A0A5F8ADU4_MACMU	SMAP1	SMAP1	14623	0
F7HD31_MACMU	TTC4	TTC4	16707	0
F7E3N5_MACMU	PALD1	PALD1	11212	0
A0A1D5R6R7_MACMU	TMEM25	TMEM25	16121	0
F7FMT7_MACMU	BANF2	BANF2	1334	0
A0A5F8A7G8_MACMU	STAM2	STAM2	15148	0
F7BUH6_MACMU	VIT	VIT	17192	0
A0A5F7ZHS3_MACMU	MAGEE1	MAGEE1	8976	0
F7G1V3_MACMU	ZMYM4	ZMYM4	17753	0
F6VM79_MACMU	GMIP	GMIP	6323	0
A0A1D5Q375_MACMU	FJX1	FJX1	5729	0
F7FEI1_MACMU	ISCA1	ISCA1	7672	0
A0A5F8A0T9_MACMU	DRP2	DRP2	4545	0
F7D3J7_MACMU	SLC27A3	SLC27A3	14365	0
F7GDK5_MACMU	MORN4	MORN4	9545	0
A0A5F8AJW4_MACMU	MED15	MED15	9246	1
A0A5F8AMC6_MACMU	CYP26A1	CYP26A1	3935	0
F7HQV9_MACMU	WDSUB1	WDSUB1	17375	0
F7HB04_MACMU	ALDH1L1	ALDH1L1	496	0
F6S4U3_MACMU	KCND1	KCND1	7850	0
F7BES0_MACMU	PTPRR	PTPRR	12639	0
A0A5F8A5V1_MACMU	OR51B5	OR51B5	10935	0
A0A5F7ZNS8_MACMU	TMEM209	TMEM209	16084	0
F7DKV0_MACMU	GIGYF1	GIGYF1	6206	0
F6Z9H7_MACMU	PAK4	PAK4	11208	0
F6QMB9_MACMU	CEACAM19	CEACAM19	2930	0
F6WIX2_MACMU	FSIP1	FSIP1	5905	0
F6SC18_MACMU	TRIM71	TRIM71	16533	0
A0A5F7ZEX8_MACMU	TMEM131	TMEM131	15992	0
G8F1D9_MACMU	VPREB3	VPREB3	17207	0
A0A5F7ZBE0_MACMU	SNCG	SNCG	14718	0
F6W020_MACMU	SLC25A25	SLC25A25	14321	0
